Category,car1,car2,car3,car4,car5,car6,car7
high-tech#antique,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#sporty,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#compact,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#expensive,jeep wrangler,Mazda_CX-7,Maserati_GranCabrio,Mercedes_M-Class,RollsRoyce_Phantom,Mercedes_R-Class,chevrolet spark
high-tech#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
high-tech#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
high-tech#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
interior#safety,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#luxury,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#cozy,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#economic,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#performance,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#mileage,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#modern,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#family,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#antique,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#sporty,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#compact,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#expensive,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#high-tech,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
interior#exterior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
interior#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
exterior#safety,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#luxury,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#cozy,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#economic,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#performance,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#mileage,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#modern,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#family,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#antique,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#sporty,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#compact,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#expensive,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#high-tech,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#interior,kia niro,RollsRoyce_Phantom,bmw 3series,Toyota_Mirai,sudi s1,Mercedes_AMG_GT,audi a8
exterior#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#safety,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#luxury,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#cozy,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#economic,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#performance,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#mileage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#modern,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#family,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#antique,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#sporty,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#compact,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#expensive,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#high-tech,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#interior,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#exterior,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
mileage#compact#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
luxury#high-tech#interior,kia niro,Toyota_Mirai,Maserati_GranTurismo,Volvo_C70,bmw 3series,sudi s1,Mercedes_AMG_GT
family#cozy#interior#storage,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
storage#cozy#sporty,RollsRoyce_Phantom,alfa romeo 147,alpina b6,aston martin virage,Mazda_CX-7,audi s6,Mercedes_A-Class
mileage#compact#modern,RollsRoyce_Phantom,audi s6,Nissan_370Z,alpina b4,Volvo_S60,chevrolet cruze,Mercedes_R-Class
